Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2011,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,142658754
2011,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,68103312.89
2011,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,6461855
2011,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,34981445.58
2011,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,68064440.08
2011,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,6837070.42
2011,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,2876578.05
2011,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,57845507
2011,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,63200413.43
2011,Utilities & Transportation,City Light,Purchased Power,Purchased Power,NA,NA,Expense,Purchased Power,0,338995282.8
2011,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,74139040.22
2010,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,46167557.67
2010,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,26880122.22
2010,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,NA,NA,Expense,Customer Services and Energy Delivery - CIP,0,110902133
2010,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,150692659
2010,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,61625166.49
2010,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,6391563
2010,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,28928871.19
2010,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,65765573.38
2010,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,6544318.78
2010,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,3123479.52
2010,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,46263834
2010,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,60738166.61
2010,Utilities & Transportation,City Light,Purchased Power,Purchased Power,NA,NA,Expense,Purchased Power,0,405347045.1
2010,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,70245290.01
2014,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,2956570
2013,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,2723497.77
2012,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,2566277.06
2011,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,2226034.63
2010,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,2253988.06
2015,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,NA,NA,Expense,Civil Service Commissions,0,518133
2014,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,NA,NA,Expense,Civil Service Commissions,0,379974
2013,Public Safety,Fire,Administration,Office of the Chief,NA,NA,Expense,Office of the Chief,0,798208.48
2013,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,NA,NA,Expense,Civil Service Commissions,0,373371.29
2012,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,NA,NA,Expense,Civil Service Commissions,0,344266.43
2015,Administration,Community Police Commission,Office of the Community Police Commission,Office of the Community Police Commission,NA,NA,Expense,Office of the Community Police Commission,0,818564
2014,Administration,Community Police Commission,Office of the Community Police Commission,Office of the Community Police Commission,NA,NA,Expense,Office of the Community Police Commission,0,813380
2015,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,7171347
2015,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,16989161
2014,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,6533471
2014,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,16702137
2013,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,6383246.02
2013,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,16108951
2012,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,6169790.02
2012,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,16572628
2011,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,6043666.69
2011,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,18331746
2010,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,NA,NA,Expense,Indigent Defense Services,0,5425163.42
2010,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,NA,NA,Expense,Jail Services,0,18476851.98
2019,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,Indirect Cost Recovery Offset,NA,NA,Expense,Indirect Cost Recovery Offset,,-27346768
2018,Utilities & Transportation,Transportation,General Expense,City Central Costs,NA,NA,Expense,City Central Costs,,35709706
2019,Administration,Human Resources,Leadership and Administration,Pooled Benefits,NA,NA,Expense,Pooled Benefits,,0
2019,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Roads,NA,NA,Expense,Roads,,50402123
2018,"Arts, Culture & Recreation",Library,Library Programs and Services,Programs and Services - Central and Branch Operations,NA,NA,Expense,Programs and Services - Central and Branch Operations,,31548714
2018,Public Safety,Firefighters Pension,Firefighters' Pension,Administration,NA,NA,Expense,Administration,,630000
2019,Utilities & Transportation,City Light,Leadership and Administration - Financial Services O&M,Indirect Cost Recovery,NA,NA,Expense,Indirect Cost Recovery,,-5814302.05
2018,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Building Inspections,NA,NA,Expense,Building Inspections,,6749947
2019,Neighborhoods & Development,Neighborhoods,Neighborhood Matching Fund,Neighborhood Matching,NA,NA,Expense,Neighborhood Matching,,4091812
2019,"Arts, Culture & Recreation",Parks and Recreation,Departmentwide Programs,Partnerships - Departmentwide,NA,NA,Expense,Partnerships - Departmentwide,,4978956.71
2018,Neighborhoods & Development,Planning and Community Development,Planning and Community Development,Planning,NA,NA,Expense,Planning,,6576613
2018,Education & Human Services,Seattle Preschool Levy,Contingency,Contingency,NA,NA,Expense,Contingency,,525656
2019,"Arts, Culture & Recreation",Parks and Recreation,2008 Parks Levy,08 Levy Cultural Facilities,NA,NA,Expense,08 Levy Cultural Facilities,,-0.06
2018,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs","Customer Service, Communications and Regulatory Affairs",NA,NA,Expense,"Customer Service, Communications and Regulatory Affairs",,93579227
2019,Administration,Human Resources,Leadership and Administration,Indirect Cost Recovery,NA,NA,Expense,Indirect Cost Recovery,,-7784021
2019,Utilities & Transportation,City Light,Financial Services - CIP,FINANCE AND IT SYSTEMS,NA,NA,Expense,FINANCE AND IT SYSTEMS,,2722195
2019,Neighborhoods & Development,Economic Development,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,1164632
2018,Neighborhoods & Development,Neighborhood Matching Fund,Neighborhood Matching Fund,Small and Simple Projects Fund,NA,NA,Expense,Small and Simple Projects Fund,,1490244
2018,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,,311102350
2019,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,,48337623
2019,Utilities & Transportation,Public Utilities,Utility Service and Operations,DWW Facilities & Equip,NA,NA,Expense,DWW Facilities & Equip,,255601.49
2018,Utilities & Transportation,Transportation,Department Management,Director's Office,NA,NA,Expense,Director's Office,,2463611
2018,Education & Human Services,Seattle Preschool Levy,School Readiness,School Readiness,NA,NA,Expense,School Readiness,,11606303
2019,Utilities & Transportation,Public Utilities,General Expense,Capital Purchases,NA,NA,Expense,Capital Purchases,,225082.31
2018,Utilities & Transportation,Public Utilities,Other Operating,Solid Waste LOB,NA,NA,Expense,Solid Waste LOB,,24150720
2019,Administration,Hearing Examiner,Office of the Hearing Examiner,Office of the Hearing Examiner,NA,NA,Expense,Office of the Hearing Examiner,,960513
2018,Neighborhoods & Development,Economic Development,CDBG - Office of Economic Development,Economic Development,NA,NA,Expense,Economic Development,,1441455
2018,Public Safety,Municipal Court,Court Operations,Court Operations,NA,NA,Expense,Court Operations,,18327445
2019,Administration,Finance General,Reserves,Recurring Reserve-Tax Refund Interest,NA,NA,Expense,Recurring Reserve-Tax Refund Interest,,775000
2019,Neighborhoods & Development,Economic Development,Business Services,Business Services Budget Program,NA,NA,Expense,Business Services Budget Program,,8508525
2019,Administration,Human Resources,HR Services,Training/Org Effectiveness,NA,NA,Expense,Training/Org Effectiveness,,2293181
2019,Utilities & Transportation,Public Utilities,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,80190847.28
2018,"Arts, Culture & Recreation",Seattle Center,Campus Grounds,Campus Grounds,NA,NA,Expense,Campus Grounds,,13797413
2018,Education & Human Services,Education - Support Services Levy,Middle School Academic Achievement and College/Career Preparation,Middle School Academic Achievement and College/Career Preparation,NA,NA,Expense,Middle School Academic Achievement and College/Career Preparation,,7564130
2010,,FFD,Judgment and Claims,Judgment and Claims,NA,NA,Expense,Judgment and Claims,0,477386
2019,Public Safety,Police,Southwest Precinct,Southwest Precinct,NA,NA,Expense,Southwest Precinct,,15889699
2018,Public Safety,Fire,Administration,Information Systems,NA,NA,Expense,Information Systems,,7708403
2019,Public Safety,Fire,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,12653334
2019,Public Safety,Fire,Operations,Office of the Operations Chief,NA,NA,Expense,Office of the Operations Chief,,7214065
2019,Administration,Finance General,Appropriation to Special Funds,Library Fund,NA,NA,Expense,Library Fund,,54966045
2019,Education & Human Services,Human Services,Preparing Youth for Success,Youth Development,NA,NA,Expense,Youth Development,,7491257
2019,"Arts, Culture & Recreation",Library,Administrative/Support Service,Administrative Services,NA,NA,Expense,Administrative Services,,558009
2019,Education & Human Services,Human Services,Supporting Affordability and Livability,Access to Services,NA,NA,Expense,Access to Services,,3836000
2018,"Arts, Culture & Recreation",Library,Administrative Services,Facilities and Security Services,NA,NA,Expense,Facilities and Security Services,,8943616
2019,Neighborhoods & Development,Neighborhoods,Community Building,Community Liaisons,NA,NA,Expense,Community Liaisons,,836317
2018,Education & Human Services,Seattle Preschool Levy,Administration,Administration,NA,NA,Expense,Administration,,2576965
2019,Administration,Information Technology,Capital Improvement Projects,Telecommunications CIP,NA,NA,Expense,Telecommunications CIP,,6398760
2019,Administration,Information Technology,Leadership and Administration,Citywide Indirect Costs,NA,NA,Expense,Citywide Indirect Costs,,21576529
2018,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Bridges & Structures,NA,NA,Expense,Bridges & Structures,,18773046
2019,Education & Human Services,Human Services,Emergency Preparedness and Provider Support,Emergency Preparedness and Provider Support,NA,NA,Expense,Emergency Preparedness and Provider Support,,0
